Symbol,StartTime,EndTime,"Trades Timestamp","Trades Quantity","Trades Price","Trades Exchange","Trades MarketCenter","Trades SubMarketCenter","Trades TRDI","Trades CanceledIndicator","Trades DOTT","Trades ITY","Trades MSN","Trades OMSN",Outcome,Message,Identity,Delay,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:38:06.943",100,23.92,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,43050,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:28.950",500,23.92,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,48443,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:29.017",100,23.91,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,48449,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:29.017",100,23.91,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,48450,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:37.193",100,23.91,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,48923,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:43.350",100,23.91,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,49264,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:48.213",100,23.91,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,49434,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:49.970",100,23.92,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,49536,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:49.973",200,23.92,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,49538,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:49.973",100,23.92,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,49539,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:49.977",100,23.93,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,49540,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:50.000",100,23.94,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,49543,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:50.003",100,23.94,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,49544,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:50.897",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,49611,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:50.897",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,49612,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:50.957",100,23.96,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,49614,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:50.957",100,23.97,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,49615,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:51.443",200,23.98,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,49637,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:39:55.427",100,23.98,"NASDAQ OMX BX, Inc",B," ",@F,,F,Q,49908,0,Success,,Cookie,0.0312,
